08/01/2024 11:00:00 - 08/01/2024 12:00:00,BZN|BG,Solar,168.86
08/01/2024 12:00:00 - 08/01/2024 13:00:00,BZN|BG,Solar,219.66
08/01/2024 13:00:00 - 08/01/2024 14:00:00,BZN|BG,Solar,218.37
08/01/2024 14:00:00 - 08/01/2024 15:00:00,BZN|BG,Solar,173.14
08/01/2024 15:00:00 - 08/01/2024 16:00:00,BZN|BG,Solar,98.92
08/01/2024 16:00:00 - 08/01/2024 17:00:00,BZN|BG,Solar,17.55
08/01/2024 17:00:00 - 08/01/2024 18:00:00,BZN|BG,Solar,0.09
08/01/2024 18:00:00 - 08/01/2024 19:00:00,BZN|BG,Solar,0.02
09/01/2024 06:00:00 - 09/01/2024 07:00:00,BZN|BG,Solar,0.02
09/01/2024 07:00:00 - 09/01/2024 08:00:00,BZN|BG,Solar,0.06
09/01/2024 08:00:00 - 09/01/2024 09:00:00,BZN|BG,Solar,10.30
09/01/2024 09:00:00 - 09/01/2024 10:00:00,BZN|BG,Solar,57.39
09/01/2024 10:00:00 - 09/01/2024 11:00:00,BZN|BG,Solar,115.25
09/01/2024 11:00:00 - 09/01/2024 12:00:00,BZN|BG,Solar,175.22
09/01/2024 12:00:00 - 09/01/2024 13:00:00,BZN|BG,Solar,181.19
09/01/2024 13:00:00 - 09/01/2024 14:00:00,BZN|BG,Solar,133.92
09/01/2024 14:00:00 - 09/01/2024 15:00:00,BZN|BG,Solar,82.75
09/01/2024 15:00:00 - 09/01/2024 16:00:00,BZN|BG,Solar,35.17
09/01/2024 16:00:00 - 09/01/2024 17:00:00,BZN|BG,Solar,4.99
09/01/2024 17:00:00 - 09/01/2024 18:00:00,BZN|BG,Solar,0.05
09/01/2024 18:00:00 - 09/01/2024 19:00:00,BZN|BG,Solar,0.02
10/01/2024 06:00:00 - 10/01/2024 07:00:00,BZN|BG,Solar,0.02
10/01/2024 07:00:00 - 10/01/2024 08:00:00,BZN|BG,Solar,0.61
10/01/2024 08:00:00 - 10/01/2024 09:00:00,BZN|BG,Solar,60.38
10/01/2024 09:00:00 - 10/01/2024 10:00:00,BZN|BG,Solar,265.97
10/01/2024 10:00:00 - 10/01/2024 11:00:00,BZN|BG,Solar,542.42
10/01/2024 11:00:00 - 10/01/2024 12:00:00,BZN|BG,Solar,837.08
10/01/2024 12:00:00 - 10/01/2024 13:00:00,BZN|BG,Solar,1028.78
10/01/2024 13:00:00 - 10/01/2024 14:00:00,BZN|BG,Solar,1104.86
10/01/2024 14:00:00 - 10/01/2024 15:00:00,BZN|BG,Solar,1025.06
10/01/2024 15:00:00 - 10/01/2024 16:00:00,BZN|BG,Solar,664.40
10/01/2024 16:00:00 - 10/01/2024 17:00:00,BZN|BG,Solar,180.32
10/01/2024 17:00:00 - 10/01/2024 18:00:00,BZN|BG,Solar,1.82
10/01/2024 18:00:00 - 10/01/2024 19:00:00,BZN|BG,Solar,0.05
11/01/2024 06:00:00 - 11/01/2024 07:00:00,BZN|BG,Solar,0.02
11/01/2024 07:00:00 - 11/01/2024 08:00:00,BZN|BG,Solar,1.98
11/01/2024 08:00:00 - 11/01/2024 09:00:00,BZN|BG,Solar,199.97
11/01/2024 09:00:00 - 11/01/2024 10:00:00,BZN|BG,Solar,814.63
11/01/2024 10:00:00 - 11/01/2024 11:00:00,BZN|BG,Solar,1346.37
11/01/2024 11:00:00 - 11/01/2024 12:00:00,BZN|BG,Solar,1587.24
11/01/2024 12:00:00 - 11/01/2024 13:00:00,BZN|BG,Solar,1655.20
11/01/2024 13:00:00 - 11/01/2024 14:00:00,BZN|BG,Solar,1592.69
11/01/2024 14:00:00 - 11/01/2024 15:00:00,BZN|BG,Solar,1352.29
11/01/2024 15:00:00 - 11/01/2024 16:00:00,BZN|BG,Solar,825.63
11/01/2024 16:00:00 - 11/01/2024 17:00:00,BZN|BG,Solar,188.57
11/01/2024 17:00:00 - 11/01/2024 18:00:00,BZN|BG,Solar,1.52
11/01/2024 18:00:00 - 11/01/2024 19:00:00,BZN|BG,Solar,0.03
12/01/2024 06:00:00 - 12/01/2024 07:00:00,BZN|BG,Solar,0.01
12/01/2024 07:00:00 - 12/01/2024 08:00:00,BZN|BG,Solar,1.96
12/01/2024 08:00:00 - 12/01/2024 09:00:00,BZN|BG,Solar,148.39
12/01/2024 09:00:00 - 12/01/2024 10:00:00,BZN|BG,Solar,607.77
12/01/2024 10:00:00 - 12/01/2024 11:00:00,BZN|BG,Solar,997.73
12/01/2024 11:00:00 - 12/01/2024 12:00:00,BZN|BG,Solar,1152.65
12/01/2024 12:00:00 - 12/01/2024 13:00:00,BZN|BG,Solar,1126.95
12/01/2024 13:00:00 - 12/01/2024 14:00:00,BZN|BG,Solar,1004.07
12/01/2024 14:00:00 - 12/01/2024 15:00:00,BZN|BG,Solar,876.54
12/01/2024 15:00:00 - 12/01/2024 16:00:00,BZN|BG,Solar,526.31
12/01/2024 16:00:00 - 12/01/2024 17:00:00,BZN|BG,Solar,142.82
12/01/2024 17:00:00 - 12/01/2024 18:00:00,BZN|BG,Solar,1.38
12/01/2024 18:00:00 - 12/01/2024 19:00:00,BZN|BG,Solar,0.02
13/01/2024 06:00:00 - 13/01/2024 07:00:00,BZN|BG,Solar,0.01
13/01/2024 07:00:00 - 13/01/2024 08:00:00,BZN|BG,Solar,1.05
13/01/2024 08:00:00 - 13/01/2024 09:00:00,BZN|BG,Solar,155.71
13/01/2024 09:00:00 - 13/01/2024 10:00:00,BZN|BG,Solar,705.47
13/01/2024 10:00:00 - 13/01/2024 11:00:00,BZN|BG,Solar,1175.24
13/01/2024 11:00:00 - 13/01/2024 12:00:00,BZN|BG,Solar,1413.12
13/01/2024 12:00:00 - 13/01/2024 13:00:00,BZN|BG,Solar,1494.42
13/01/2024 13:00:00 - 13/01/2024 14:00:00,BZN|BG,Solar,1428.30
13/01/2024 14:00:00 - 13/01/2024 15:00:00,BZN|BG,Solar,1199.91
13/01/2024 15:00:00 - 13/01/2024 16:00:00,BZN|BG,Solar,742.38
13/01/2024 16:00:00 - 13/01/2024 17:00:00,BZN|BG,Solar,183.25
13/01/2024 17:00:00 - 13/01/2024 18:00:00,BZN|BG,Solar,1.76
13/01/2024 18:00:00 - 13/01/2024 19:00:00,BZN|BG,Solar,0.03
14/01/2024 06:00:00 - 14/01/2024 07:00:00,BZN|BG,Solar,0.02
14/01/2024 07:00:00 - 14/01/2024 08:00:00,BZN|BG,Solar,2.91
14/01/2024 08:00:00 - 14/01/2024 09:00:00,BZN|BG,Solar,261.78
